"id";"sexe";"cellId";"col";"row";"nb_dans_cellule";"lon_grille";"lat_grille";"lon_reel";"lat_reel";"reaffecte";"deplacement_m";"issu_zone_non";"point_reel_hors_commune"
"502";"Masculin";"329";"15";"7";"4";"-4.07284780135363";"5.33117064265201";"-4.0729399";"5.3290774";"0";"232";"0";"0"
"503";"Masculin";"329";"15";"7";"4";"-4.07059181627722";"5.33117457298264";"-4.0728424";"5.3287365";"0";"367";"0";"0"
"512";"Masculin";"329";"15";"7";"4";"-4.07284387686577";"5.32890940930546";"-4.0710517";"5.3297333";"0";"218";"0";"0"
"513";"Masculin";"329";"15";"7";"4";"-4.07058790003793";"5.32891333795975";"-4.0710477";"5.329893";"0";"120";"0";"0"
"282";"Masculin";"299";"14";"16";"4";"-4.07743099420273";"5.37186486796241";"-4.0692834";"5.3624564";"1";"1377";"0";"1"
"274";"Masculin";"299";"14";"16";"4";"-4.07517486342738";"5.37186884513511";"-4.0666271";"5.3649513";"1";"1217";"0";"1"
"275";"Masculin";"299";"14";"16";"4";"-4.07742702268594";"5.36960364102684";"-4.0666281";"5.3649471";"1";"1303";"0";"1"
"281";"Feminin";"299";"14";"16";"4";"-4.07517090022299";"5.36960761651593";"-4.0692569";"5.3624838";"1";"1025";"0";"1"
"725";"Feminin";"14";"0";"7";"1";"-4.13939650203646";"5.3299203866333";"-4.138668874";"5.33542511931902";"1";"614";"0";"0"
"362";"Masculin";"412";"19";"8";"4";"-4.05480759573088";"5.33572434655812";"-4.0558283";"5.3362683";"0";"128";"0";"0"
"365";"Feminin";"412";"19";"8";"4";"-4.05300201271381";"5.33527519168129";"-4.0556836";"5.3359483";"0";"306";"0";"0"
"355";"Feminin";"412";"19";"8";"4";"-4.05480373391148";"5.33346310023693";"-4.0572108";"5.3391639";"1";"684";"0";"0"
"356";"Feminin";"412";"19";"8";"4";"-4.05254772719965";"5.33346696605819";"-4.0568335";"5.3389143";"1";"767";"0";"0"
"104";"Masculin";"191";"9";"19";"4";"-4.10001657227104";"5.38539189378523";"-4.098767";"5.3824207";"0";"356";"0";"0"
"122";"Masculin";"191";"9";"19";"4";"-4.09776040867339";"5.38539596459983";"-4.0941314";"5.3800444";"1";"715";"0";"0"
"103";"Feminin";"191";"9";"19";"4";"-4.10001250723928";"5.38313068490139";"-4.096929";"5.3820256";"0";"363";"0";"0"
"123";"Feminin";"191";"9";"19";"4";"-4.09775635197503";"5.38313475399705";"-4.0939701";"5.3802529";"1";"527";"0";"0"
"454";"Masculin";"323";"15";"13";"4";"-4.07289502694745";"5.35830542963229";"-4.0699899";"5.3557161";"0";"431";"0";"0"
"455";"Masculin";"323";"15";"13";"4";"-4.07063894261131";"5.35830938007983";"-4.0708427";"5.3556521";"0";"295";"0";"0"
"456";"Masculin";"323";"15";"13";"4";"-4.07289108219131";"5.35604419831473";"-4.0715037";"5.3557098";"0";"158";"0";"0"
"457";"Masculin";"323";"15";"13";"4";"-4.07063500614634";"5.3560481470858";"-4.0731057";"5.355804";"0";"275";"0";"0"
"327";"Masculin";"353";"16";"4";"4";"-4.06831240679662";"5.31761107234198";"-4.0708999";"5.3188477";"1";"318";"0";"0"
"329";"Feminin";"353";"16";"4";"4";"-4.06605646779169";"5.31761497611791";"-4.0722654";"5.3198247";"1";"730";"0";"0"
"208";"Feminin";"353";"16";"4";"4";"-4.06830850889583";"5.31534983463575";"-4.0656822";"5.3221243";"1";"804";"0";"0"
"209";"Feminin";"353";"16";"4";"4";"-4.06605257811823";"5.31535373674248";"-4.0656827";"5.3215846";"1";"690";"0";"0"
"546";"Masculin";"284";"13";"10";"4";"-4.08189550539146";"5.34472219472393";"-4.0817316";"5.347982";"1";"361";"0";"0"
"547";"Masculin";"284";"13";"10";"4";"-4.07963947752654";"5.34472616827548";"-4.0810369";"5.3492598";"1";"525";"0";"0"
"150";"Masculin";"284";"13";"10";"4";"-4.08189153769084";"5.34246096913149";"-4.0761522";"5.3444599";"1";"673";"0";"0"
"154";"Feminin";"284";"13";"10";"4";"-4.07963551809566";"5.34246494099253";"-4.0760744";"5.3456152";"1";"526";"0";"0"
"261";"Masculin";"53";"2";"10";"4";"-4.1315276812135";"5.34463267912539";"-4.1263405";"5.3402067";"1";"755";"0";"0"
"250";"Feminin";"53";"2";"10";"4";"-4.12927169163985";"5.34463683506273";"-4.1270872";"5.341141";"1";"456";"0";"0"
"251";"Feminin";"53";"2";"10";"4";"-4.13152353158639";"5.34237149161656";"-4.1275291";"5.3404569";"1";"491";"0";"0"
"264";"Feminin";"53";"2";"10";"4";"-4.12926755028179";"5.3423756457858";"-4.1264045";"5.3402088";"1";"398";"0";"0"
"238";"Masculin";"165";"7";"3";"2";"-4.10886378846526";"5.31188645699961";"-4.10708";"5.3124517";"0";"207";"0";"0"
"239";"Feminin";"165";"7";"3";"2";"-4.1066981363373";"5.31189034299479";"-4.1069233";"5.3134183";"0";"171";"0";"0"
"359";"Masculin";"456";"21";"6";"2";"-4.04572118964366";"5.3255642040514";"-4.0555499";"5.3373";"1";"1694";"0";"0"
"358";"Feminin";"456";"21";"6";"2";"-4.04463831729703";"5.32556604196724";"-4.0554205";"5.3376306";"1";"1791";"0";"0"
"202";"Masculin";"372";"17";"6";"4";"-4.06381606963818";"5.3266638341269";"-4.0642323";"5.3265351";"0";"48";"0";"0"
"201";"Masculin";"372";"17";"6";"4";"-4.06156009433567";"5.32666772805459";"-4.0655246";"5.3264064";"1";"440";"0";"0"
"207";"Masculin";"372";"17";"6";"4";"-4.063812181494";"5.3244025937591";"-4.0659924";"5.3226493";"1";"310";"0";"0"
"203";"Feminin";"372";"17";"6";"4";"-4.06155621443309";"5.32440648602458";"-4.0627483";"5.3264083";"0";"258";"0";"0"
"97";"Masculin";"218";"10";"13";"4";"-4.09545577681579";"5.35826546800864";"-4.1018096";"5.3710967";"1";"1584";"0";"0"
"6";"Feminin";"218";"10";"13";"4";"-4.09319970953164";"5.35826950157358";"-4.1052088";"5.3665306";"1";"1614";"0";"0"
"69";"Feminin";"218";"10";"13";"4";"-4.09545174914965";"5.35600425364983";"-4.105612";"5.3650795";"1";"1508";"0";"0"
"25";"Feminin";"218";"10";"13";"4";"-4.09319569015636";"5.35600828550302";"-4.0962956";"5.370679";"1";"1658";"1";"0"
"459";"Masculin";"324";"15";"12";"4";"-4.07288713912435";"5.3537829668277";"-4.0737659";"5.3542977";"0";"113";"0";"0"
"460";"Masculin";"324";"15";"12";"4";"-4.070631071367";"5.35378691392231";"-4.0734433";"5.3532231";"0";"318";"0";"0"
"461";"Feminin";"324";"15";"12";"4";"-4.07288319774656";"5.35152173517126";"-4.0727229";"5.3521047";"0";"67";"0";"0"
"462";"Feminin";"324";"15";"12";"4";"-4.07062713827328";"5.35152568058942";"-4.0714879";"5.3520117";"0";"109";"0";"0"
"79";"Masculin";"200";"9";"10";"4";"-4.09994366669604";"5.34469010785286";"-4.1042714";"5.3421614";"1";"555";"0";"0"
"80";"Masculin";"200";"9";"10";"4";"-4.09768765255642";"5.34469414772827";"-4.103608";"5.3416088";"1";"739";"0";"0"
"585";"Masculin";"200";"9";"10";"4";"-4.09993963283857";"5.34242889591149";"-4.1028431";"5.3420728";"1";"324";"0";"0"
"586";"Feminin";"200";"9";"10";"4";"-4.09768362696845";"5.34243293406817";"-4.1020718";"5.341603";"1";"495";"0";"0"
"293";"Masculin";"163";"7";"5";"3";"-4.10888142962354";"5.32174531978856";"-4.1100338";"5.3218985";"0";"129";"0";"0"
"294";"Feminin";"163";"7";"5";"3";"-4.10671574305889";"5.3217492130361";"-4.1091867";"5.3216883";"0";"274";"0";"0"
"302";"Feminin";"163";"7";"5";"3";"-4.10779535030863";"5.31993830128811";"-4.1111075";"5.3230325";"1";"502";"0";"0"
"639";"Masculin";"222";"10";"9";"3";"-4.09537792174969";"5.33985925867763";"-4.0922966";"5.3396088";"0";"343";"0";"0"
"640";"Masculin";"222";"10";"9";"3";"-4.09321216184596";"5.33986311752403";"-4.0920883";"5.3386683";"0";"182";"0";"0"
"223";"Feminin";"222";"10";"9";"3";"-4.09429183426082";"5.33805221579374";"-4.1020162";"5.3461752";"1";"1241";"0";"0"
"661";"Masculin";"121";"5";"5";"3";"-4.11790510629238";"5.32172901603991";"-4.1190839";"5.3235359";"1";"239";"0";"0"
"660";"Feminin";"121";"5";"5";"3";"-4.11573942645096";"5.32173294098438";"-4.1183134";"5.3228592";"0";"311";"0";"0"
"653";"Feminin";"121";"5";"5";"3";"-4.11681900399297";"5.31992201895517";"-4.1151754";"5.3258454";"1";"680";"0";"0"
"4";"Masculin";"174";"8";"15";"4";"-4.10449628937628";"5.36729407884194";"-4.1047388";"5.3668143";"0";"59";"0";"0"
"34";"Masculin";"174";"8";"15";"4";"-4.1022401958139";"5.36729815255651";"-4.1065185";"5.3644067";"1";"572";"0";"0"
"5";"Feminin";"174";"8";"15";"4";"-4.10449222159112";"5.36503287204465";"-4.1050609";"5.3668754";"0";"213";"0";"0"
"31";"Feminin";"174";"8";"15";"4";"-4.10223613633367";"5.36503694403331";"-4.1065172";"5.3652816";"1";"475";"0";"0"
"687";"Feminin";"270";"12";"3";"2";"-4.08630483383039";"5.31192656370453";"-4.08418376";"5.31135810937345";"0";"243";"0";"0"
"692";"Feminin";"270";"12";"3";"2";"-4.08413916513416";"5.31193037060291";"-4.086202014";"5.3100495637168";"0";"309";"0";"0"
"555";"Masculin";"280";"13";"14";"4";"-4.08192730831561";"5.36281199336758";"-4.0784735";"5.3556011";"1";"884";"0";"0"
"541";"Masculin";"280";"13";"14";"4";"-4.07967121416492";"5.36281598044365";"-4.0805114";"5.350882";"1";"1323";"0";"0"
"548";"Feminin";"280";"13";"14";"4";"-4.08192332698822";"5.36055076913044";"-4.0799225";"5.350765";"1";"1104";"0";"0"
"126";"Feminin";"280";"13";"14";"4";"-4.07966724113567";"5.36055475451591";"-4.0973634";"5.3733476";"1";"2418";"0";"0"
"643";"Masculin";"224";"10";"7";"1";"-4.09427757320709";"5.33000228346984";"-4.0907209";"5.3346461";"1";"647";"0";"0"
"399";"Masculin";"155";"7";"13";"4";"-4.10899214417718";"5.35824109207719";"-4.1081939";"5.3589722";"0";"120";"0";"0"
"398";"Feminin";"155";"7";"13";"4";"-4.10673608729464";"5.35824517551107";"-4.1081056";"5.3590666";"0";"177";"0";"0"
"39";"Feminin";"155";"7";"13";"4";"-4.10898806676653";"5.35597988806293";"-4.1065161";"5.3635199";"1";"877";"0";"0"
"40";"Feminin";"155";"7";"13";"4";"-4.10673201817467";"5.3559839697639";"-4.1064308";"5.363504";"1";"832";"0";"0"
"339";"Masculin";"310";"14";"5";"4";"-4.07734401267212";"5.32211783623732";"-4.0745591";"5.3198291";"0";"399";"0";"0"
"342";"Masculin";"310";"14";"5";"4";"-4.0750880639497";"5.32212177637354";"-4.0718818";"5.3208866";"1";"381";"0";"0"
"324";"Feminin";"310";"14";"5";"4";"-4.07734007847072";"5.31985660557986";"-4.0758061";"5.3198987";"0";"170";"0";"0"
"335";"Feminin";"310";"14";"5";"4";"-4.07508413798262";"5.31986054403274";"-4.0769157";"5.3186868";"1";"241";"0";"0"
"698";"Feminin";"248";"11";"4";"2";"-4.0908245951314";"5.3164410503228";"-4.091741775";"5.31858309617787";"0";"258";"0";"0"
"699";"Feminin";"248";"11";"4";"2";"-4.08865891393249";"5.31644487631335";"-4.08993117";"5.31835416902525";"0";"254";"0";"0"
"163";"Masculin";"182";"8";"7";"3";"-4.10438572859676";"5.33079826141161";"-4.1061125";"5.3293595";"1";"249";"0";"0"
"157";"Feminin";"182";"8";"7";"3";"-4.10222000704046";"5.33080214543716";"-4.108722";"5.3321215";"1";"735";"0";"0"
"296";"Feminin";"182";"8";"7";"3";"-4.10329963940183";"5.32899123607485";"-4.1066966";"5.3310643";"1";"441";"0";"0"
"482";"Masculin";"239";"11";"13";"4";"-4.09094364052632";"5.35827352682691";"-4.0885991";"5.3535785";"1";"580";"0";"0"
"492";"Masculin";"239";"11";"13";"4";"-4.08868756980337";"5.35827754376862";"-4.0871078";"5.3525017";"1";"662";"0";"0"
"684";"Masculin";"239";"11";"13";"4";"-4.09093962944193";"5.35601230904813";"-4.0873879";"5.3475889";"1";"1011";"0";"0"
"481";"Feminin";"239";"11";"13";"4";"-4.0886835670099";"5.35601632428514";"-4.0886823";"5.3534196";"1";"287";"0";"0"
"421";"Feminin";"459";"21";"3";"2";"-4.04569828699805";"5.31199667942691";"-4.0473317";"5.3092233";"1";"356";"0";"0"
"423";"Feminin";"459";"21";"3";"2";"-4.04396572899084";"5.31199961164784";"-4.0469183";"5.3091333";"1";"456";"0";"0"
